Object full path in v4, Object full path in v5
pymodaq.control_modules.daq_move_ui.ThreadCommand, pymodaq_utils.utils.ThreadCommand
pymodaq.resources.QtDesigner_Ressources.QtDesigner_ressources_rc, pymodaq_gui.QtDesigner_Ressources.QtDesigner_ressources_rc
pymodaq.utils.abstract.ABCMeta, pymodaq_utils.abstract.ABCMeta
pymodaq.utils.abstract.abstract_attribute, pymodaq_utils.abstract.abstract_attribute
pymodaq.utils.abstract.abstractmethod, pymodaq_utils.abstract.abstractmethod
pymodaq.utils.config, pymodaq_utils.config
pymodaq.utils.config.BaseConfig, pymodaq_utils.config.BaseConfig
pymodaq.utils.config.Config, pymodaq_utils.config.Config
pymodaq.utils.config.get_set_config_dir, pymodaq_utils.config.get_set_config_dir
pymodaq.utils.config.get_set_local_dir, pymodaq_utils.config.get_set_local_dir
pymodaq.utils.config.get_set_roi_path, pymodaq_gui.config.get_set_roi_path
pymodaq.utils.daq_utils, pymodaq_utils.utils
pymodaq.utils.daq_utils.capitalize, pymodaq_utils.utils.capitalize
pymodaq.utils.daq_utils.find_dict_in_list_from_key_val, pymodaq_utils.utils.find_dict_in_list_from_key_val
pymodaq.utils.daq_utils.find_keys_from_val, pymodaq_utils.utils.find_keys_from_val
pymodaq.utils.daq_utils.get_entrypoints, pymodaq_utils.utils.get_entrypoints
pymodaq.utils.daq_utils.get_version, pymodaq_utils.utils.get_version
pymodaq.utils.daq_utils.getLineInfo, pymodaq_utils.utils.getLineInfo
pymodaq.utils.daq_utils.ThreadCommand, pymodaq_utils.utils.ThreadCommand
pymodaq.utils.data, pymodaq_data.data
pymodaq.utils.data.Axis, pymodaq_data.data.Axis
pymodaq.utils.data.DataCalculated, pymodaq_data.data.DataCalculated
pymodaq.utils.data.DataDim, pymodaq_data.data.DataDim
pymodaq.utils.data.DataDistribution, pymodaq_data.data.DataDistribution
pymodaq.utils.data.DataRaw, pymodaq_data.data.DataRaw
pymodaq.utils.data.DataToExport, pymodaq_data.data.DataToExport
pymodaq.utils.data.DataUnitError, pymodaq_data.data.DataUnitError
pymodaq.utils.data.DataWithAxes, pymodaq_data.data.DataWithAxes
pymodaq.utils.data.DwaType, pymodaq_data.data.DwaType
pymodaq.utils.data.enum_checker, pymodaq_data.data.enum_checker
pymodaq.utils.data.Unit, pymodaq_data.Unit
pymodaq.utils.enums.BaseEnum, pymodaq_utils.enums.BaseEnum
pymodaq.utils.enums.enum_checker, pymodaq_data.data.enum_checker
pymodaq.utils.factory.ObjectFactory, pymodaq_utils.factory.ObjectFactory
pymodaq.utils.gui_utils.custom_app.CustomApp, pymodaq_gui.utils.CustomApp
pymodaq.utils.gui_utils.CustomApp, pymodaq_gui.utils.CustomApp
pymodaq.utils.gui_utils.Dock, pymodaq_gui.utils.Dock
pymodaq.utils.gui_utils.dock.Dock, pymodaq_gui.utils.Dock
